Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,961,965.48,960.91,964.67,431465,0
2017-05-16,17:00:00,964.68,968.2,963.18,966.64,547131,0
2017-05-16,18:00:00,966.53,967.85,965.12,967.285,234450,0
2017-05-16,19:00:00,967.11,970.06,966.26,967.9845,273555,0
2017-05-16,20:00:00,968.0232,968.74,965.74,965.78,170741,0
2017-05-16,21:00:00,965.765,967.92,965.57,966.94,138878,0
2017-05-16,22:00:00,966.98,967.31,965.55,966.07,395476,0
2017-05-17,16:00:00,954.7,960.3957,952.74,956.88,614193,0
2017-05-17,17:00:00,957.42,959.64,952.065,952.74,529877,0
2017-05-17,18:00:00,952.93,956.88,951.11,955.74,431709,0
2017-05-17,19:00:00,955.6816,958.88,953.52,957.569,260780,0
2017-05-17,20:00:00,957.63,958.3,953.52,953.7801,181523,0
2017-05-17,21:00:00,953.71,955.55,948.1,948.29,467770,0
2017-05-17,22:00:00,948.64,949.73,944.12,944.79,1090407,0
2017-05-18,16:00:00,944.8,955,944.76,951.845,650889,0
2017-05-18,17:00:00,951.87,959.66,951.7,955.21,543846,0
2017-05-18,18:00:00,955.38,957.78,954.02,954.36,212850,0
2017-05-18,19:00:00,954.5245,956,951.2069,955.43,295354,0
2017-05-18,20:00:00,955.4502,959.04,954.46,957.75,158194,0
2017-05-18,21:00:00,957.9,962.75,957.9,960.0222,413588,0
2017-05-18,22:00:00,959.755,961.1,958,958.15,377199,0
2017-05-19,16:00:00,962.84,968.19,962.25,964.42,709847,0
2017-05-19,17:00:00,964.42,968.85,963.56,968.715,431452,0
2017-05-19,18:00:00,968.69,968.92,965.71,966.72,317010,0
2017-05-19,19:00:00,966.6866,968.16,965.27,967.735,193177,0
2017-05-19,20:00:00,967.34,968.5,966.63,966.63,127879,0
2017-05-19,21:00:00,966.71,968.26,965.85,965.96,152772,0
2017-05-19,22:00:00,965.97,966.33,959.72,959.84,961451,0
2017-05-22,16:00:00,964,970.66,962.9,970.13,580271,0
2017-05-22,17:00:00,970.06,970.5,967.12,968.86,275416,0
2017-05-22,18:00:00,968.75,969.81,968.28,969.2958,142508,0
2017-05-22,19:00:00,969.44,970.74,968.65,968.92,233452,0
2017-05-22,20:00:00,968.7601,969.47,967.37,968.61,145070,0
2017-05-22,21:00:00,968.61,969.2522,968.1,969.0254,106426,0
2017-05-22,22:00:00,969.01,971.38,968.38,970.7,382643,0
2017-05-23,16:00:00,975.02,975.2,966.85,969.98,496753,0
2017-05-23,17:00:00,970,973.0581,969.99,971.85,238825,0
2017-05-23,18:00:00,971.72,973.69,971.59,972.76,134346,0
2017-05-23,19:00:00,972.527,972.56,967.75,968.46,243107,0
2017-05-23,20:00:00,968.68,969.85,967.75,969.11,126272,0
2017-05-23,21:00:00,969,971.7,969,971.23,146664,0
2017-05-23,22:00:00,971.335,972.36,968.99,971.54,335975,0
2017-05-24,16:00:00,976,976,970.23,972.12,325052,0
2017-05-24,17:00:00,972.105,975.03,972.105,973.02,173343,0
2017-05-24,18:00:00,973.12,973.99,970.79,973.15,131620,0
2017-05-24,19:00:00,972.87,974.43,972,974.11,85388,0
2017-05-24,20:00:00,974,975.67,973.715,975.489,131214,0
2017-05-24,21:00:00,975.335,977.31,974.4551,976.8799,230596,0
2017-05-24,22:00:00,976.98,981,976.69,980.35,655602,0
2017-05-25,16:00:00,984.85,988.33,982.11,986.6,516567,0
2017-05-25,17:00:00,986.595,993.1,986.328,992.94,596356,0
