Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,1049.8,1051,1046.01,1047.8,85706,0
2017-11-17,15:40:00,1048.5099,1048.52,1045.5,1045.5,17446,0
2017-11-17,15:45:00,1045.58,1048,1045.005,1047.62,13312,0
2017-11-17,15:50:00,1047.41,1048,1045.71,1047.075,5717,0
2017-11-17,15:55:00,1046.4829,1046.8159,1046,1046.43,7135,0
2017-11-17,16:00:00,1046.03,1047.46,1045.81,1046.83,6123,0
2017-11-17,16:05:00,1047.07,1047.07,1045.1,1045.72,3200,0
2017-11-17,16:10:00,1045.605,1045.8173,1044.75,1044.75,10482,0
2017-11-17,16:15:00,1044.56,1045.575,1044.0901,1045.25,8469,0
2017-11-17,16:20:00,1045.53,1046.28,1044.7,1045.16,7751,0
2017-11-17,16:25:00,1045.15,1045.49,1044.6,1045.49,3044,0
2017-11-17,16:30:00,1045.535,1045.73,1043.5,1044.32,7578,0
2017-11-17,16:35:00,1044.255,1044.255,1043.25,1043.3788,6282,0
2017-11-17,16:40:00,1043.33,1044.66,1043.16,1044.6,5080,0
2017-11-17,16:45:00,1044.2413,1045.44,1044.2413,1045.44,2450,0
2017-11-17,16:50:00,1045.01,1045.71,1044.885,1045.71,2287,0
2017-11-17,16:55:00,1045.562,1046.74,1045.562,1046.04,5009,0
2017-11-17,17:00:00,1045.83,1046.2185,1045.56,1045.9861,2000,0
2017-11-17,17:05:00,1046.33,1046.79,1046.32,1046.3201,4467,0
2017-11-17,17:10:00,1046.37,1046.37,1044.97,1045.45,4244,0
2017-11-17,17:15:00,1045.19,1045.19,1044,1044.74,2950,0
2017-11-17,17:20:00,1046,1046.535,1045.55,1046.032,3866,0
2017-11-17,17:25:00,1045.56,1045.83,1044.85,1045.45,6365,0
2017-11-17,17:30:00,1045.43,1046.115,1045.42,1045.86,4080,0
2017-11-17,17:35:00,1045.7,1046.34,1045.43,1045.53,3500,0
2017-11-17,17:40:00,1045.32,1045.5999,1044.65,1044.945,3548,0
2017-11-17,17:45:00,1044.77,1045.438,1044.37,1044.855,3705,0
2017-11-17,17:50:00,1044.84,1044.84,1044.1657,1044.64,1600,0
2017-11-17,17:55:00,1044.7392,1045.01,1043.81,1044.2225,4750,0
2017-11-17,18:00:00,1044.125,1044.18,1043.16,1043.685,8626,0
2017-11-17,18:05:00,1043.695,1043.695,1042.62,1042.78,5580,0
2017-11-17,18:10:00,1042.59,1042.95,1042.49,1042.75,3469,0
2017-11-17,18:15:00,1042.64,1044.66,1042.64,1044.47,3690,0
2017-11-17,18:20:00,1044.49,1044.64,1044.19,1044.26,2638,0
2017-11-17,18:25:00,1044,1044.75,1044,1044.75,3384,0
2017-11-17,18:30:00,1044.83,1045.225,1044.23,1044.4,5635,0
2017-11-17,18:35:00,1044.32,1044.51,1044.01,1044.275,1000,0
2017-11-17,18:40:00,1044.46,1044.53,1044.22,1044.3544,2050,0
2017-11-17,18:45:00,1044.34,1044.47,1043.45,1043.58,4360,0
2017-11-17,18:50:00,1043.93,1043.93,1042.73,1042.89,5225,0
2017-11-17,18:55:00,1042.975,1043.0095,1042.42,1042.44,5551,0
2017-11-17,19:00:00,1042.63,1042.94,1042.46,1042.94,1828,0
2017-11-17,19:05:00,1043.05,1043.16,1042.663,1042.7273,2755,0
2017-11-17,19:10:00,1042.605,1042.71,1041.975,1042.55,4456,0
2017-11-17,19:15:00,1042.42,1042.93,1042.395,1042.93,4189,0
2017-11-17,19:20:00,1042.68,1043.07,1042.62,1042.68,3415,0
2017-11-17,19:25:00,1042.848,1042.848,1042.5,1042.6005,1672,0
2017-11-17,19:30:00,1042.5,1042.52,1042.12,1042.12,4068,0
2017-11-17,19:35:00,1042.6399,1042.65,1042.12,1042.45,4136,0
2017-11-17,19:40:00,1042.445,1042.445,1041.84,1042.2,3001,0
2017-11-17,19:45:00,1042.2793,1042.52,1041.33,1041.6,5883,0
